lineNumber,colorGrade,leafGrade,stapleCode
914,41,4,37
915,41,4,37
916,41,4,37
917,41,4,37
918,41,4,38
919,41,4,38
920,41,4,38
921,41,3,38
922,41,3,38
923,41,4,39
924,41,4,38
925,41,4,37
926,31,4,38
927,41,4,38
928,31,4,38
929,41,4,38
930,41,4,39
931,41,4,37
932,41,4,37
933,41,4,38
934,41,4,38
935,41,4,38
936,41,4,38
937,41,4,38
938,41,4,38
939,41,4,39
940,41,4,38
941,41,4,38
942,41,4,36
943,41,4,38
944,41,5,38
945,41,4,37
946,41,4,38
947,41,5,38
948,41,4,38
949,41,4,38
950,41,4,38
951,41,4,38
952,41,4,37
953,41,4,38
954,41,4,37
955,41,5,38
956,41,5,37
957,31,3,35
958,41,4,38
959,41,4,39
960,41,4,39
961,41,3,39
962,41,3,39
963,41,3,39
964,41,5,38
965,41,5,38
966,41,4,39
967,41,5,38
968,41,5,38
969,41,4,39
970,41,5,39
971,41,5,39
972,41,4,37
973,41,4,38
974,41,4,38
975,41,5,38
976,41,5,38
977,41,5,38
978,41,4,38
979,41,5,36
980,41,5,36
981,41,4,38
982,41,4,38
983,41,5,38
984,41,5,38
985,41,4,39
986,41,4,38
987,41,5,38
988,41,4,38
989,41,4,38
990,41,4,37
991,41,5,37
992,41,4,38
993,41,4,38
994,41,4,37
995,41,4,38
996,41,4,38
997,41,4,39
998,41,4,37
999,41,3,39
1000,41,4,38
1001,41,4,38
1002,41,4,40
1003,41,4,39
1004,41,4,38
1005,41,4,38
1006,41,4,38
1007,41,4,38
1008,41,4,39
1009,41,4,38
1010,41,3,38
1011,41,4,38
1012,41,4,39
1013,41,3,38
1014,41,4,37
1015,41,3,38
1016,41,4,38
1017,41,4,39
1018,41,3,37
1019,41,4,38
1020,41,3,37
1021,41,4,37
1022,41,4,38
1023,41,4,38
1024,41,4,38
1025,31,4,38
1026,41,3,38
1027,41,4,38
1028,41,4,38
1029,41,4,38
1030,41,4,38
1031,41,3,38
1032,41,4,38
1033,41,4,37
1034,41,4,38
1035,41,4,38
1036,41,5,38
1037,41,4,38
1038,41,5,38
1039,41,4,38
1040,41,5,39
1041,41,5,38
1042,41,4,38
1043,41,4,37
1044,41,4,38
1045,41,5,38
1046,41,5,38
1047,41,4,38
1048,41,4,38
1049,41,4,36
1050,41,4,36
1051,41,3,36
1052,41,3,37
1053,41,4,38
1054,41,3,37
1055,41,4,38
1056,41,4,38
1057,41,4,38
1058,41,3,38
1059,41,3,37
1060,41,3,38
1061,41,4,37
1062,41,3,38
1063,41,3,37
1064,41,4,38
1065,41,3,38
1066,41,4,37
1067,41,4,39
1068,41,4,37
1069,41,3,37
1070,41,3,38
1071,41,4,38
1072,41,3,38
1073,41,4,38
1074,41,4,37
1075,41,3,38
1076,41,4,38
1077,41,4,38
1078,41,4,37
1079,41,3,37
1080,41,4,37
1081,41,4,37
1082,41,4,38
1083,41,3,36
1084,41,4,38
1085,41,3,38
1086,41,4,38
1087,41,4,37
1088,41,4,37
1089,41,4,38
1090,41,4,37
1091,41,4,38
1092,41,4,37
1093,41,3,38
1094,41,3,38
1095,41,4,38
1096,41,3,37
1097,41,3,38
1098,41,3,38
1099,41,3,38
1100,41,4,38
1101,41,3,37
1102,41,3,38
1103,41,3,39
1104,41,4,37
1105,41,3,37
1106,41,3,38
1107,41,4,38
1108,41,4,37
1109,41,3,38
1110,41,3,38
1111,41,3,37
1112,41,4,37
1113,41,4,38
1114,41,4,37
1115,41,4,38
1116,41,3,39
1117,41,4,39
1118,41,4,38
1119,41,4,38
1120,41,4,37
1121,41,3,39
1122,41,4,38
1123,41,4,38
1124,41,4,39
1125,41,4,39
1126,41,4,38
1127,41,3,38
1128,41,4,38
1129,41,4,38
1130,41,5,35
1131,41,5,34
1132,41,5,35
1133,41,4,35
1134,41,4,37
1135,41,4,38
1136,41,4,38
1137,41,3,38
1138,41,4,38
1139,41,4,39
1140,41,4,38
1141,41,4,39
1142,41,4,39
1143,41,4,39
1144,41,4,38
1145,41,4,38
1146,41,4,39
1147,41,4,38
1148,41,3,37
1149,41,3,37
1150,41,3,35
1151,41,4,37
1152,41,4,37
1153,41,3,38
1154,41,3,37
1155,41,4,39
1156,31,3,37
1157,41,4,38
1158,41,3,37
1159,41,3,38
1160,41,4,37
1161,41,4,37
1162,31,3,39
1163,31,3,39
1164,31,4,39
1165,41,4,39
1166,31,3,38
1167,31,4,38
1168,31,4,39
1169,41,4,38
1170,31,4,39
1171,41,4,38
1172,41,4,39
1173,41,4,39
1174,41,4,38
1175,41,4,39
1176,41,4,39
1177,41,4,38
1178,41,4,37
1179,41,4,37
1180,41,4,39
1181,41,4,39
1182,41,4,37
1183,41,4,38
1184,41,4,38
1185,41,4,37
1186,41,4,37
1187,41,5,38
1188,41,4,38
1189,31,4,38
1190,41,4,39
1191,41,4,38
1192,41,3,38
1193,41,3,38
1194,41,4,38
1195,41,4,38
1196,41,4,38
1197,41,4,36
1198,41,4,39
1199,41,4,36
1200,41,4,36
1201,41,4,34
1202,41,4,37
1203,41,4,38
1204,41,4,39
1205,41,4,40
1206,41,4,39
1207,41,4,38
1208,41,4,38
1209,41,4,38
1210,41,4,38
1211,41,4,38
1212,41,4,38
1213,41,5,38
1214,41,4,38
1215,41,4,38
1216,41,4,38
1217,41,4,39
1218,41,5,39
1219,41,5,35
1220,41,5,36
1221,41,5,36
1222,41,5,36
1223,41,5,36
1224,41,6,36
1225,41,5,35
1226,41,6,36
1227,41,6,35
1228,41,6,36
1229,41,6,35
1230,41,6,36
1231,41,6,35
1232,41,6,36
1233,41,6,35
1234,41,6,35
1235,41,4,35
1236,41,3,35
1237,41,5,36
1238,41,4,36
1239,41,5,35
1240,41,5,35
1241,41,5,35
1242,41,5,37
1243,41,5,35
1244,41,5,35
1245,41,5,36
1246,41,5,36
1247,41,5,36
1248,41,5,36
1249,41,5,35
1250,41,5,35
1251,41,5,36
1252,41,5,35
1253,41,5,36
1254,41,2,35
1255,41,3,36
1256,31,2,35
1257,31,2,34
1258,31,3,35
1259,31,3,36
1260,31,3,36
1261,31,3,35
1262,31,4,37
1263,41,4,37
1264,41,5,36
1265,41,5,36
1266,41,5,35
1267,41,5,36
1268,41,5,36
1269,41,4,35
1270,41,4,34
1271,41,5,35
1272,41,5,35
1273,41,5,35
1274,41,5,35
1275,41,5,36
1276,41,5,35
1277,41,5,36
1278,41,5,36
1279,41,5,35
1280,41,5,36
1281,41,5,34
1282,41,5,35
1283,41,5,36
1284,41,5,35
1285,41,5,34
1286,41,4,35
1287,41,5,35
1288,41,5,35
1289,41,5,36
1290,41,5,35
1291,41,4,36
1292,41,5,36
1293,41,5,35
1294,41,5,36
1295,41,5,35
1296,41,5,35
1297,41,5,36
1298,41,5,35
1299,41,5,36
1300,41,5,35
1301,41,5,35
1302,41,4,35
1303,41,5,36
1304,51,5,35
1305,41,4,36
1306,41,5,35
1307,41,4,35
1308,41,5,36
1309,41,5,36
1310,41,5,36
1311,41,5,36
1312,41,5,35
1313,41,5,36
1314,41,5,36
1315,31,5,36
1316,41,5,36
1317,41,5,36
1318,41,4,34
1319,41,5,36
1320,41,5,36
1321,41,5,35
1322,41,5,34
1323,41,5,35
1324,41,5,35
1325,41,5,36
1326,41,5,33
1327,41,5,33
1328,41,4,35
1329,41,5,33
1330,51,6,36
1331,41,5,35
1332,41,5,36
1333,41,6,35
1334,51,6,35
1335,41,5,36
1336,41,6,35
1337,41,6,36
1338,41,6,35
1339,41,5,36
1340,41,5,35
1341,41,6,35
1342,41,5,35
1343,41,5,36
1344,41,5,35
1345,41,5,36
1346,41,5,35
1347,41,5,36
1348,41,5,36
1349,41,5,36
1350,41,5,36
1351,41,5,36
1352,41,5,35
1353,41,5,35
1354,41,5,35
1355,41,4,35
1356,41,5,36
1357,41,4,35
1358,41,5,35
1359,41,5,36
1360,41,5,36
1361,41,4,36
1362,41,4,35
1363,41,4,36
1364,41,5,35
1365,41,5,35
1366,41,5,36
1367,41,5,36
1368,41,6,36
1369,41,5,35
1370,41,5,36
1371,41,5,36
1372,41,5,36
1373,41,6,35
1374,41,5,35
1375,41,5,36
1376,41,4,35
1377,41,4,35
1378,41,4,35
1379,41,4,35
1380,41,4,35
1381,41,4,35
1382,41,4,36
1383,41,5,36
1384,41,4,35
1385,41,5,35
1386,41,4,35
1387,41,4,35
1388,41,4,36
1389,41,3,36
1390,41,4,35
1391,41,5,35
1392,41,5,35
1393,41,4,35
1394,31,4,34
1395,41,4,35
1396,31,3,34
1397,41,4,34
1398,41,3,34
1399,41,3,34
1400,41,4,34
1401,31,3,34
1402,41,4,34
1403,41,3,34
1404,31,3,34
1405,31,3,35
1406,31,3,34
1407,31,3,34
1408,31,4,34
1409,41,4,35
1410,41,3,35
1411,41,5,36
1412,41,4,36
1413,41,4,36
1414,41,4,36
1415,41,4,35
1416,41,4,36
1417,41,4,36
1418,41,4,35
1419,41,4,35
1420,41,4,35
1421,41,4,35
1422,41,4,35
1423,41,4,35
1424,41,4,35
1425,41,5,35
1426,41,4,35
1427,41,4,36
1428,41,4,36
1429,41,4,37
1430,41,4,37
1431,41,4,36
1432,31,3,35
1433,31,3,35
1434,31,2,35
1435,31,2,35
1436,31,2,34
1437,31,3,35
1438,31,3,35
1439,31,3,35
1440,31,2,35
1441,31,3,35
1442,31,3,36
1443,31,3,36
1444,31,3,36
1445,31,3,35
1446,31,3,36
1447,31,3,35
1448,31,3,35
1449,31,2,35
1450,31,3,35
1451,31,3,36
1452,31,3,36
1453,41,3,36
1454,41,3,35
1455,41,3,36
1456,41,4,37
1457,41,4,36
1458,41,4,37
1459,41,4,37
1460,41,5,37
1461,41,4,36
1462,41,4,37
1463,41,4,37
1464,31,4,36
1465,31,5,37
1466,31,4,37
1467,31,4,37
1468,31,5,36
1469,31,4,37
1470,31,4,36
1471,41,4,36
1472,31,4,36
1473,31,4,35
1474,31,4,36
1475,31,4,36
1476,31,4,37
1477,31,4,36
1478,31,3,36
1479,31,4,36
1480,31,4,37
1481,31,3,37
1482,31,4,37
1483,41,3,35
1484,31,3,36
1485,41,3,36
1486,31,4,36
1487,41,4,35
1488,41,5,36
1489,41,4,35
1490,41,5,35
1491,41,5,34
1492,41,5,35
1493,41,6,34
1494,41,5,36
1495,41,5,36
1496,41,5,36
1497,41,6,35
1498,41,5,36
1499,41,5,35
1500,41,4,37
1501,41,5,36
1502,41,5,37
1503,41,5,37
1504,41,4,36
1505,41,4,37
1506,41,5,37
1507,41,4,37
1508,41,4,37
1509,41,4,35
1510,41,4,36
1511,41,4,36
1512,41,4,36
1513,41,5,37
1514,41,4,37
1515,41,4,36
1516,41,4,36
1517,41,3,36
1518,41,4,35
1519,31,4,36
1520,41,4,36
1521,41,4,35
1522,41,4,36
1523,41,4,35
1524,41,4,36
1525,41,4,35
1526,41,4,37
1527,41,4,36
1528,41,4,36
1529,41,3,36
1530,41,4,36
1531,41,4,36
1532,41,3,36
1533,41,4,36
1534,41,4,36
1535,41,4,36
1536,41,4,36
1537,41,5,36
1538,41,4,36
1539,41,5,37
1540,41,4,36
1541,41,4,37
1542,41,4,36
1543,41,4,36
1544,41,3,35
1545,41,4,36
1546,31,4,36
1547,41,4,36
1548,41,3,37
1549,41,4,37
1550,41,4,36
1551,41,5,36
1552,41,3,35
1553,41,4,37
1554,41,4,36
1555,41,3,37
1556,41,4,37
1557,41,4,37
1558,41,4,36
1559,41,4,37
1560,31,4,36
1561,41,4,37
1562,41,4,36
1563,41,4,36
1564,41,3,37
1565,41,4,37
1566,41,4,37
1567,41,3,37
1568,41,4,37
1569,41,4,37
1570,41,4,37
1571,41,4,37
1572,41,5,37
1573,41,4,37
1574,41,4,37
1575,41,4,37
1576,41,4,37
1577,41,4,37
1578,41,4,37
1579,41,4,37
1580,31,4,36
1581,41,4,35
1582,41,3,37
1583,41,4,36
1584,31,4,36
1585,31,3,36
1586,41,3,37
1587,31,3,36
1588,31,3,37
1589,41,3,36
1590,41,4,37
1591,31,4,37
1592,31,3,36
1593,31,4,36
1594,31,4,36
1595,31,4,37
1596,31,4,36
1597,31,4,36
1598,31,4,37
1599,31,4,37
1600,31,4,37
1601,31,4,37
1602,31,3,35
1603,31,4,35
1604,31,4,34
1605,31,4,35
1606,31,4,34
1607,31,4,34
1608,31,4,35
1609,31,4,35
1610,31,5,34
1611,41,5,35
1612,41,4,34
1613,41,5,34
1614,31,4,35
1615,41,4,34
1616,41,5,36
1617,41,5,37
1618,41,5,37
1619,41,4,37
1620,41,5,36
1621,41,4,36
1622,41,4,36
1623,41,4,36
1624,41,4,36
1625,41,5,36
1626,41,5,37
1627,41,4,36
1628,41,4,36
1629,41,4,36
1630,41,4,36
1631,41,5,37
1632,41,4,37
1633,41,4,37
1634,41,5,37
1635,41,4,37
1636,41,5,37
1637,41,4,37
1638,41,4,37
1639,41,5,37
1640,41,4,37
1641,41,4,37
1642,41,4,36
1643,41,4,36
1644,41,4,37
1645,41,5,37
1646,41,4,37
1647,31,4,37
1648,41,5,37
1649,31,3,37
1650,41,3,38
1651,41,4,37
1652,41,4,38
1653,41,4,37
1654,41,4,37
1655,41,4,37
1656,41,4,37
1657,41,4,37
1658,41,4,37
1659,41,5,38
1660,41,3,37
1661,41,4,36
